Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
851,826,Zach Whitecloud,24,VEG,D,34,2,6,8,6,12,2.0,2,0,0,1,6,0,0,37,5.4,630,18:31,49,51,0,0,
852,827,Tom Wilson,26,WSH,RW,29,9,14,23,1,43,2.5,6,2,1,3,12,2,0,45,20.0,505,17:25,14,77,8,8,50.0
853,828,Christian Wolanin,25,OTT,D,15,0,3,3,-7,6,-0.1,0,0,0,0,3,0,0,14,0.0,195,13:00,3,3,0,0,
854,829,Miles Wood,25,NJD,LW,36,11,4,15,-5,21,1.6,8,3,0,2,4,0,0,87,12.6,526,14:37,13,24,3,4,42.9
855,830,Kailer Yamamoto,22,EDM,RW,37,7,10,17,9,20,1.8,7,0,0,0,9,0,1,52,13.5,610,16:29,35,45,0,1,0.0
856,831,Keith Yandle,34,FLA,D,39,3,18,21,-7,30,2.5,2,1,0,1,4,14,0,73,4.1,688,17:38,24,13,0,0,
857,832,Pavel Zacha,23,NJD,C,35,7,13,20,-13,6,1.2,6,1,0,2,9,4,0,62,11.3,616,17:35,8,26,271,260,51.0
858,833,Filip Zadina,21,DET,RW,33,4,10,14,-3,0,1.0,2,2,0,0,7,3,0,69,5.8,538,16:18,16,13,4,6,40.0
859,834,Nikita Zadorov,25,CHI,D,39,1,6,7,2,29,1.7,1,0,0,0,6,0,0,43,2.3,736,18:52,50,129,0,0,
860,835,Nikita Zaitsev,29,OTT,D,39,1,11,12,-13,18,1.1,1,0,0,0,11,0,0,56,1.8,873,22:23,78,78,0,0,
861,836,Travis Zajac,35,NJD,C,32,7,10,17,3,6,1.7,7,0,0,2,10,0,0,34,20.6,542,16:56,15,39,241,244,49.7
862,837,Jakub Zboril,23,BOS,D,33,0,7,7,-2,10,1.5,0,0,0,0,6,1,0,27,0.0,595,18:02,25,53,0,0,
863,838,Trevor Zegras,19,ANA,C,17,1,6,7,2,8,0.6,1,0,0,0,6,0,0,33,3.0,249,14:38,3,5,2,9,18.2
864,839,Mika Zibanejad,27,NYR,C,37,12,16,28,4,12,3.1,4,6,2,3,13,2,1,107,11.2,755,20:24,31,52,323,377,46.1
865,840,Radim Zohorna,24,PIT,F,2,1,0,1,1,0,0.2,1,0,0,1,0,0,0,2,50.0,16,7:58,0,4,1,2,33.3
866,841,Artem Zub,25,OTT,D,30,2,6,8,0,12,1.5,2,0,0,0,6,0,0,23,8.7,522,17:25,33,55,0,0,
867,842,Mats Zuccarello,33,MIN,LW,24,6,16,22,6,4,2.5,6,0,0,0,13,3,0,44,13.6,395,16:28,12,5,5,11,31.3
868,843,Jason Zucker,29,PIT,LW,20,5,3,8,-4,8,0.6,5,0,0,0,3,0,0,37,13.5,326,16:19,10,49,2,5,28.6
